typL,liczbaL,typS,liczbS,typP,liczbaP
artylerzysci,436,piechurzy,70,artylerzysci,38
artylerzysci,24,artylerzysci,319,konnica,241
piechurzy,167,artylerzysci,239,konnica,208
konnica,340,piechurzy,50,artylerzysci,119
konnica,372,konnica,103,artylerzysci,11
artylerzysci,35,piechurzy,300,artylerzysci,94
piechurzy,117,artylerzysci,278,konnica,230
artylerzysci,119,artylerzysci,81,artylerzysci,158
konnica,261,piechurzy,177,artylerzysci,129
piechurzy,191,piechurzy,325,konnica,27
konnica,322,piechurzy,26,piechurzy,91
piechurzy,120,konnica,290,piechurzy,103
artylerzysci,244,konnica,245,artylerzysci,54
artylerzysci,351,artylerzysci,125,konnica,80
konnica,240,piechurzy,11,konnica,183
piechurzy,245,konnica,30,artylerzysci,298
konnica,151,artylerzysci,38,konnica,263
konnica,463,artylerzysci,10,artylerzysci,21
piechurzy,364,piechurzy,24,artylerzysci,142
piechurzy,50,konnica,449,artylerzysci,13
artylerzysci,2,konnica,374,piechurzy,88
artylerzysci,473,piechurzy,76,piechurzy,32
piechurzy,209,piechurzy,372,piechurzy,111
konnica,274,artylerzysci,1,artylerzysci,185
piechurzy,183,piechurzy,407,piechurzy,55
konnica,355,artylerzysci,90,piechurzy,48
artylerzysci,192,artylerzysci,118,konnica,164
artylerzysci,323,piechurzy,123,artylerzysci,49
artylerzysci,35,piechurzy,167,piechurzy,31
piechurzy,417,piechurzy,165,piechurzy,144
artylerzysci,108,konnica,29,konnica,270
konnica,354,artylerzysci,2,artylerzysci,49
artylerzysci,74,konnica,16,piechurzy,409
konnica,149,artylerzysci,206,artylerzysci,125
piechurzy,284,piechurzy,199,piechurzy,260
artylerzysci,272,piechurzy,156,artylerzysci,100
artylerzysci,160,piechurzy,269,piechurzy,92
artylerzysci,235,piechurzy,316,piechurzy,91
artylerzysci,403,konnica,71,konnica,102
konnica,381,artylerzysci,120,konnica,29
konnica,192,konnica,34,konnica,53
artylerzysci,324,artylerzysci,98,artylerzysci,53
konnica,495,konnica,3,piechurzy,3
konnica,143,konnica,343,artylerzysci,11
artylerzysci,305,konnica,203,konnica,56
artylerzysci,86,konnica,394,piechurzy,34
konnica,133,piechurzy,63,konnica,263
artylerzysci,200,konnica,36,artylerzysci,109
konnica,453,konnica,48,artylerzysci,1
artylerzysci,240,artylerzysci,315,konnica,72
piechurzy,435,konnica,242,konnica,8
konnica,315,artylerzysci,9,artylerzysci,65
piechurzy,18,piechurzy,477,konnica,169
artylerzysci,471,konnica,22,konnica,59
konnica,180,piechurzy,180,konnica,92
konnica,95,artylerzysci,70,konnica,117
konnica,179,konnica,188,piechurzy,52
piechurzy,177,artylerzysci,308,konnica,14
piechurzy,459,konnica,244,piechurzy,9
artylerzysci,203,konnica,173,artylerzysci,148
piechurzy,25,piechurzy,419,piechurzy,157
piechurzy,355,artylerzysci,243,konnica,24
piechurzy,178,piechurzy,391,konnica,101
artylerzysci,119,artylerzysci,334,piechurzy,17
konnica,246,artylerzysci,156,artylerzysci,11
konnica,30,piechurzy,440,piechurzy,109
artylerzysci,461,artylerzysci,104,konnica,52
piechurzy,385,konnica,23,piechurzy,248
artylerzysci,12,artylerzysci,357,piechurzy,72
konnica,433,piechurzy,43,konnica,9
artylerzysci,223,piechurzy,299,piechurzy,167
artylerzysci,310,konnica,109,artylerzysci,50
piechurzy,278,artylerzysci,68,piechurzy,84
konnica,473,konnica,24,konnica,5
artylerzysci,486,artylerzysci,45,piechurzy,6
artylerzysci,300,artylerzysci,80,artylerzysci,96
artylerzysci,359,piechurzy,177,artylerzysci,44
piechurzy,215,piechurzy,361,artylerzysci,24
piechurzy,320,artylerzysci,139,konnica,135
piechurzy,163,konnica,44,artylerzysci,263
artylerzysci,359,piechurzy,40,konnica,91
piechurzy,461,konnica,70,artylerzysci,95
artylerzysci,158,piechurzy,278,artylerzysci,207
konnica,334,konnica,123,piechurzy,21
piechurzy,182,konnica,142,konnica,258
konnica,492,artylerzysci,8,artylerzysci,3
piechurzy,180,piechurzy,99,konnica,232
piechurzy,391,artylerzysci,213,konnica,41
piechurzy,484,piechurzy,34,artylerzysci,224
artylerzysci,92,konnica,129,piechurzy,234
piechurzy,113,artylerzysci,61,piechurzy,66
artylerzysci,370,piechurzy,77,konnica,142
konnica,378,piechurzy,81,konnica,80
piechurzy,273,piechurzy,351,konnica,119
artylerzysci,428,piechurzy,157,piechurzy,13
konnica,98,artylerzysci,208,piechurzy,145
artylerzysci,417,konnica,18,konnica,98
konnica,176,piechurzy,324,konnica,82
piechurzy,132,konnica,194,artylerzysci,33
artylerzysci,409,piechurzy,179,konnica,10
piechurzy,104,konnica,136,artylerzysci,25
piechurzy,128,piechurzy,294,piechurzy,92
konnica,20,artylerzysci,438,artylerzysci,38
konnica,33,artylerzysci,414,konnica,157
artylerzysci,298,artylerzysci,147,artylerzysci,98
artylerzysci,296,piechurzy,258,piechurzy,128
piechurzy,118,piechurzy,263,konnica,77
artylerzysci,184,artylerzysci,238,piechurzy,11
piechurzy,217,artylerzysci,193,konnica,106
artylerzysci,156,konnica,88,konnica,109
artylerzysci,139,konnica,210,konnica,107
konnica,160,artylerzysci,119,konnica,138
artylerzysci,67,artylerzysci,188,konnica,20
konnica,319,piechurzy,32,artylerzysci,157
piechurzy,238,artylerzysci,115,konnica,188
piechurzy,304,piechurzy,196,konnica,190
konnica,265,piechurzy,65,konnica,179
konnica,439,konnica,62,konnica,1
piechurzy,446,piechurzy,169,piechurzy,39
konnica,157,piechurzy,96,konnica,37
konnica,478,konnica,3,konnica,5
konnica,40,konnica,9,piechurzy,163
piechurzy,279,piechurzy,2,piechurzy,313
konnica,471,piechurzy,28,artylerzysci,14
piechurzy,19,artylerzysci,383,piechurzy,122
artylerzysci,482,piechurzy,84,konnica,32
artylerzysci,176,konnica,64,piechurzy,149
piechurzy,389,konnica,133,artylerzysci,139
artylerzysci,123,konnica,244,piechurzy,137
artylerzysci,1,piechurzy,240,artylerzysci,375
piechurzy,225,piechurzy,112,piechurzy,299
artylerzysci,104,artylerzysci,276,artylerzysci,143
piechurzy,498,artylerzysci,57,konnica,138
artylerzysci,423,konnica,3,artylerzysci,62
konnica,82,piechurzy,100,piechurzy,365
konnica,444,konnica,45,konnica,2
artylerzysci,303,konnica,149,piechurzy,123
piechurzy,328,artylerzysci,230,piechurzy,125
piechurzy,108,piechurzy,133,artylerzysci,359
konnica,348,piechurzy,68,konnica,84
konnica,8,konnica,111,konnica,177
artylerzysci,461,artylerzysci,131,konnica,14
piechurzy,345,piechurzy,60,artylerzysci,221
artylerzysci,260,artylerzysci,18,piechurzy,239
artylerzysci,17,artylerzysci,230,artylerzysci,2
piechurzy,317,artylerzysci,15,piechurzy,331
piechurzy,169,konnica,58,piechurzy,83
piechurzy,213,artylerzysci,388,piechurzy,22
artylerzysci,217,konnica,261,artylerzysci,9
konnica,185,artylerzysci,246,artylerzysci,27
konnica,298,konnica,110,artylerzysci,68
piechurzy,173,artylerzysci,25,piechurzy,44
konnica,406,piechurzy,56,piechurzy,4
piechurzy,326,artylerzysci,16,artylerzysci,125
konnica,173,konnica,262,piechurzy,20
piechurzy,468,piechurzy,118,konnica,153
konnica,12,piechurzy,186,konnica,252
artylerzysci,180,artylerzysci,46,konnica,55
artylerzysci,294,piechurzy,251,piechurzy,146
piechurzy,15,konnica,147,konnica,274
artylerzysci,354,artylerzysci,39,konnica,95
konnica,50,artylerzysci,280,artylerzysci,120
piechurzy,173,piechurzy,116,piechurzy,231
artylerzysci,421,konnica,90,piechurzy,54
artylerzysci,273,konnica,32,piechurzy,147
piechurzy,162,artylerzysci,171,piechurzy,18
artylerzysci,463,konnica,32,piechurzy,108
artylerzysci,193,artylerzysci,165,piechurzy,47
artylerzysci,188,piechurzy,76,piechurzy,67
konnica,324,artylerzysci,84,konnica,61
artylerzysci,313,artylerzysci,45,artylerzysci,82
konnica,45,artylerzysci,13,konnica,24
piechurzy,216,artylerzysci,243,artylerzysci,195
artylerzysci,310,konnica,189,artylerzysci,41
konnica,201,konnica,135,piechurzy,87
piechurzy,351,konnica,109,konnica,134
konnica,27,konnica,111,konnica,32
artylerzysci,160,konnica,54,piechurzy,299
piechurzy,20,piechurzy,20,piechurzy,280
artylerzysci,230,konnica,207,konnica,63
artylerzysci,59,konnica,240,piechurzy,157
artylerzysci,104,artylerzysci,372,konnica,81
piechurzy,490,piechurzy,160,piechurzy,37
konnica,46,piechurzy,130,piechurzy,196
piechurzy,146,konnica,161,piechurzy,154
piechurzy,242,artylerzysci,255,konnica,108
konnica,211,piechurzy,128,piechurzy,13
artylerzysci,314,konnica,173,artylerzysci,33
konnica,255,konnica,175,artylerzysci,46
konnica,259,artylerzysci,64,artylerzysci,129
konnica,299,konnica,137,artylerzysci,39
artylerzysci,153,konnica,106,konnica,59
piechurzy,242,artylerzysci,26,piechurzy,180
konnica,57,piechurzy,252,konnica,311
artylerzysci,39,piechurzy,166,piechurzy,260
konnica,451,artylerzysci,1,piechurzy,24
artylerzysci,78,konnica,276,konnica,125
piechurzy,270,artylerzysci,320,piechurzy,45
artylerzysci,376,konnica,95,piechurzy,64
piechurzy,155,artylerzysci,236,artylerzysci,69
artylerzysci,196,piechurzy,246,piechurzy,76
piechurzy,182,piechurzy,249,piechurzy,15
konnica,76,piechurzy,352,artylerzysci,20
piechurzy,358,artylerzysci,44,konnica,170
piechurzy,234,artylerzysci,143,piechurzy,24
artylerzysci,3,artylerzysci,285,piechurzy,269
konnica,47,konnica,341,piechurzy,47
konnica,104,artylerzysci,253,konnica,109
konnica,143,piechurzy,49,artylerzysci,9
artylerzysci,7,piechurzy,66,konnica,5
konnica,452,piechurzy,43,piechurzy,20
konnica,299,piechurzy,28,konnica,4
artylerzysci,220,artylerzysci,208,piechurzy,55
konnica,107,konnica,169,artylerzysci,156
artylerzysci,347,konnica,81,piechurzy,58
artylerzysci,90,artylerzysci,421,konnica,109
konnica,245,artylerzysci,248,artylerzysci,53
piechurzy,216,konnica,153,piechurzy,49
konnica,165,konnica,139,artylerzysci,143
artylerzysci,71,konnica,15,piechurzy,343
artylerzysci,164,piechurzy,12,konnica,197
konnica,175,artylerzysci,170,piechurzy,71
konnica,391,artylerzysci,79,artylerzysci,48
piechurzy,351,artylerzysci,29,piechurzy,77
artylerzysci,382,konnica,6,artylerzysci,134
piechurzy,104,konnica,99,konnica,189
artylerzysci,166,konnica,121,artylerzysci,4
artylerzysci,34,artylerzysci,276,konnica,42
piechurzy,493,konnica,75,konnica,1
artylerzysci,375,konnica,55,artylerzysci,61
piechurzy,88,piechurzy,246,konnica,323
konnica,471,konnica,9,konnica,10
artylerzysci,133,konnica,271,piechurzy,26
konnica,464,piechurzy,35,artylerzysci,2
piechurzy,165,artylerzysci,208,konnica,201
piechurzy,77,konnica,419,konnica,7
konnica,238,konnica,187,artylerzysci,67
piechurzy,203,konnica,165,konnica,201
artylerzysci,400,piechurzy,54,piechurzy,143
konnica,383,artylerzysci,86,artylerzysci,29
artylerzysci,3,konnica,197,piechurzy,236
piechurzy,318,piechurzy,321,artylerzysci,116
konnica,248,konnica,59,konnica,101
konnica,136,konnica,111,konnica,169
piechurzy,79,konnica,18,artylerzysci,206
piechurzy,158,piechurzy,234,piechurzy,33
piechurzy,158,piechurzy,330,artylerzysci,223
konnica,83,artylerzysci,282,piechurzy,90
konnica,17,piechurzy,424,piechurzy,27
artylerzysci,122,artylerzysci,322,piechurzy,127
konnica,460,artylerzysci,40,konnica,9
piechurzy,432,artylerzysci,250,artylerzysci,95
konnica,292,konnica,164,konnica,9
piechurzy,39,piechurzy,444,artylerzysci,28
konnica,120,konnica,279,piechurzy,76
konnica,130,piechurzy,325,piechurzy,150
konnica,292,artylerzysci,52,konnica,166
artylerzysci,142,artylerzysci,385,artylerzysci,10
piechurzy,431,piechurzy,156,piechurzy,72
piechurzy,143,konnica,59,piechurzy,208
artylerzysci,351,piechurzy,82,konnica,191
konnica,119,konnica,268,konnica,76
artylerzysci,218,piechurzy,97,piechurzy,119
konnica,403,konnica,80,artylerzysci,11
konnica,338,konnica,33,artylerzysci,89
piechurzy,118,artylerzysci,360,konnica,155
artylerzysci,346,artylerzysci,236,piechurzy,7
artylerzysci,139,konnica,40,artylerzysci,248
konnica,428,konnica,58,konnica,11
artylerzysci,163,konnica,79,artylerzysci,272
konnica,393,konnica,40,artylerzysci,6
artylerzysci,340,piechurzy,245,artylerzysci,122
artylerzysci,116,konnica,137,konnica,239
artylerzysci,408,konnica,62,artylerzysci,52
piechurzy,18,konnica,467,piechurzy,5
piechurzy,501,piechurzy,224,piechurzy,136
konnica,165,konnica,239,konnica,45
artylerzysci,352,konnica,209,piechurzy,18
konnica,63,artylerzysci,242,konnica,18
piechurzy,495,piechurzy,59,konnica,109
artylerzysci,467,piechurzy,17,konnica,101
piechurzy,248,konnica,68,artylerzysci,235
konnica,179,piechurzy,101,artylerzysci,222
konnica,168,konnica,26,piechurzy,209
konnica,293,konnica,174,artylerzysci,24
konnica,246,piechurzy,68,piechurzy,22
artylerzysci,477,piechurzy,83,piechurzy,35
piechurzy,42,konnica,335,artylerzysci,40
artylerzysci,442,piechurzy,21,konnica,151
piechurzy,139,konnica,432,artylerzysci,1
piechurzy,180,konnica,215,konnica,122
konnica,135,piechurzy,276,piechurzy,151
artylerzysci,232,piechurzy,193,konnica,75
konnica,500,piechurzy,2,konnica,1
artylerzysci,61,piechurzy,187,konnica,332
artylerzysci,36,piechurzy,306,piechurzy,62
piechurzy,462,artylerzysci,55,konnica,195
artylerzysci,175,piechurzy,239,piechurzy,146
artylerzysci,241,artylerzysci,52,artylerzysci,236
artylerzysci,47,piechurzy,267,piechurzy,201
konnica,112,artylerzysci,371,konnica,7
konnica,185,konnica,252,piechurzy,52
artylerzysci,466,artylerzysci,18,piechurzy,109
piechurzy,358,konnica,95,artylerzysci,141
artylerzysci,328,piechurzy,223,piechurzy,62
konnica,380,konnica,42,konnica,35
konnica,370,artylerzysci,12,konnica,53
artylerzysci,248,piechurzy,264,konnica,103
artylerzysci,317,konnica,159,konnica,8
artylerzysci,65,piechurzy,365,konnica,52
artylerzysci,14,konnica,425,piechurzy,63
konnica,501,konnica,1,piechurzy,1
piechurzy,87,artylerzysci,226,konnica,200
piechurzy,426,piechurzy,211,artylerzysci,15
artylerzysci,413,piechurzy,49,konnica,7
konnica,436,artylerzysci,1,artylerzysci,21
artylerzysci,213,piechurzy,196,konnica,22
konnica,172,artylerzysci,295,piechurzy,98
piechurzy,501,konnica,116,artylerzysci,85
piechurzy,91,konnica,319,artylerzysci,64
artylerzysci,345,piechurzy,126,konnica,125
piechurzy,29,piechurzy,331,artylerzysci,318
konnica,154,konnica,283,artylerzysci,9
piechurzy,203,artylerzysci,85,konnica,245
piechurzy,249,artylerzysci,236,piechurzy,62
konnica,270,piechurzy,62,artylerzysci,122
konnica,305,piechurzy,111,piechurzy,25
piechurzy,137,artylerzysci,31,piechurzy,22
piechurzy,498,piechurzy,33,artylerzysci,85
artylerzysci,378,piechurzy,188,konnica,51
artylerzysci,439,konnica,104,piechurzy,48
artylerzysci,469,artylerzysci,135,artylerzysci,20
konnica,265,artylerzysci,104,piechurzy,43
konnica,93,artylerzysci,214,piechurzy,60
piechurzy,349,konnica,101,konnica,205
piechurzy,492,konnica,214,piechurzy,27
artylerzysci,273,konnica,22,artylerzysci,221
piechurzy,339,konnica,107,konnica,193
konnica,113,piechurzy,273,konnica,127
piechurzy,70,konnica,248,piechurzy,203
piechurzy,441,piechurzy,38,konnica,71
artylerzysci,492,konnica,91,konnica,6
konnica,162,konnica,279,piechurzy,56
artylerzysci,467,artylerzysci,36,artylerzysci,6
konnica,167,artylerzysci,20,piechurzy,2
piechurzy,410,konnica,65,artylerzysci,31
artylerzysci,16,piechurzy,211,artylerzysci,356
piechurzy,85,piechurzy,200,konnica,250
artylerzysci,340,piechurzy,144,konnica,20
konnica,101,konnica,294,artylerzysci,9
artylerzysci,306,artylerzysci,37,piechurzy,184
artylerzysci,91,artylerzysci,39,piechurzy,223
konnica,214,artylerzysci,229,piechurzy,105
konnica,157,artylerzysci,321,piechurzy,64
artylerzysci,155,piechurzy,383,konnica,99
konnica,178,piechurzy,93,piechurzy,12
artylerzysci,154,piechurzy,64,piechurzy,231
piechurzy,189,artylerzysci,221,konnica,51
artylerzysci,369,artylerzysci,40,artylerzysci,48
piechurzy,134,piechurzy,111,piechurzy,189
artylerzysci,316,piechurzy,21,konnica,87
artylerzysci,491,konnica,123,piechurzy,10
konnica,354,piechurzy,113,artylerzysci,49
piechurzy,325,piechurzy,225,konnica,110
konnica,20,piechurzy,163,piechurzy,335
konnica,301,piechurzy,97,piechurzy,18
konnica,58,piechurzy,262,artylerzysci,26
artylerzysci,451,piechurzy,31,piechurzy,100
artylerzysci,413,artylerzysci,65,konnica,70
konnica,166,artylerzysci,57,artylerzysci,76
piechurzy,224,konnica,358,piechurzy,27
artylerzysci,97,piechurzy,374,artylerzysci,144
konnica,4,konnica,50,artylerzysci,209
artylerzysci,147,piechurzy,94,konnica,294
artylerzysci,498,artylerzysci,16,piechurzy,69
piechurzy,292,piechurzy,192,piechurzy,243
konnica,124,piechurzy,58,konnica,66
konnica,423,piechurzy,17,artylerzysci,24
artylerzysci,462,konnica,57,artylerzysci,18
artylerzysci,103,konnica,158,artylerzysci,245
artylerzysci,136,konnica,271,artylerzysci,38
piechurzy,207,artylerzysci,63,konnica,179
konnica,17,konnica,412,artylerzysci,68
artylerzysci,72,artylerzysci,183,piechurzy,204
piechurzy,133,piechurzy,239,konnica,126
artylerzysci,501,artylerzysci,7,konnica,84
konnica,87,piechurzy,274,artylerzysci,211
piechurzy,44,artylerzysci,191,artylerzysci,52
piechurzy,269,artylerzysci,242,artylerzysci,156
konnica,7,piechurzy,220,piechurzy,155
piechurzy,485,piechurzy,224,piechurzy,78
konnica,52,artylerzysci,6,konnica,209
konnica,384,piechurzy,55,konnica,72
piechurzy,138,konnica,129,konnica,31
konnica,342,artylerzysci,73,artylerzysci,46
piechurzy,403,piechurzy,216,konnica,168
piechurzy,408,artylerzysci,21,artylerzysci,128
konnica,481,artylerzysci,16,konnica,6
artylerzysci,106,konnica,134,artylerzysci,114
konnica,187,piechurzy,274,konnica,86
konnica,446,konnica,19,konnica,5
piechurzy,338,artylerzysci,58,piechurzy,243
artylerzysci,405,artylerzysci,122,piechurzy,97
artylerzysci,221,piechurzy,173,artylerzysci,36
konnica,105,artylerzysci,168,artylerzysci,25
piechurzy,404,artylerzysci,20,artylerzysci,134
konnica,35,artylerzysci,343,piechurzy,200
piechurzy,408,konnica,237,konnica,9
artylerzysci,428,artylerzysci,85,piechurzy,47
piechurzy,21,artylerzysci,138,konnica,275
piechurzy,108,artylerzysci,106,piechurzy,354
piechurzy,436,artylerzysci,124,konnica,1
artylerzysci,453,artylerzysci,68,piechurzy,5
piechurzy,324,artylerzysci,84,artylerzysci,146
konnica,109,artylerzysci,350,konnica,8
artylerzysci,446,konnica,87,konnica,44
konnica,201,artylerzysci,35,artylerzysci,13
artylerzysci,447,konnica,157,piechurzy,6
konnica,236,konnica,140,konnica,76
artylerzysci,153,piechurzy,273,konnica,29
konnica,103,konnica,105,konnica,136
artylerzysci,293,konnica,96,piechurzy,41
piechurzy,128,konnica,111,piechurzy,288
artylerzysci,270,artylerzysci,297,konnica,2
artylerzysci,443,artylerzysci,133,konnica,38
piechurzy,236,konnica,88,konnica,96
artylerzysci,199,piechurzy,227,konnica,170
artylerzysci,117,piechurzy,186,artylerzysci,224
artylerzysci,55,konnica,162,konnica,24
piechurzy,41,konnica,272,artylerzysci,6
artylerzysci,105,artylerzysci,195,piechurzy,134
konnica,267,konnica,11,konnica,220
konnica,256,artylerzysci,97,artylerzysci,84
konnica,54,artylerzysci,356,piechurzy,96
artylerzysci,270,konnica,200,konnica,33
artylerzysci,326,artylerzysci,29,piechurzy,122
piechurzy,235,piechurzy,219,artylerzysci,157
artylerzysci,34,artylerzysci,78,konnica,124
piechurzy,65,konnica,126,artylerzysci,102
artylerzysci,67,artylerzysci,334,piechurzy,43
piechurzy,225,konnica,200,artylerzysci,144
artylerzysci,148,piechurzy,386,artylerzysci,16
konnica,204,piechurzy,75,artylerzysci,2
piechurzy,173,piechurzy,254,artylerzysci,2
konnica,339,piechurzy,70,konnica,10
piechurzy,53,konnica,259,piechurzy,62
konnica,473,piechurzy,19,artylerzysci,15
artylerzysci,20,konnica,180,artylerzysci,254
artylerzysci,430,piechurzy,34,konnica,47
piechurzy,85,artylerzysci,152,piechurzy,328
artylerzysci,115,konnica,290,artylerzysci,88
piechurzy,283,konnica,176,piechurzy,63
piechurzy,380,artylerzysci,113,piechurzy,144
konnica,367,artylerzysci,52,konnica,15
piechurzy,197,artylerzysci,38,konnica,297
artylerzysci,450,artylerzysci,92,konnica,56
konnica,385,artylerzysci,26,artylerzysci,84
piechurzy,376,konnica,158,konnica,53
konnica,361,piechurzy,121,artylerzysci,26
artylerzysci,333,konnica,141,artylerzysci,94
konnica,87,artylerzysci,146,konnica,55
konnica,385,artylerzysci,3,piechurzy,25
artylerzysci,471,konnica,38,piechurzy,63
artylerzysci,90,artylerzysci,264,piechurzy,65
konnica,270,artylerzysci,132,konnica,51
piechurzy,111,artylerzysci,73,konnica,369
piechurzy,284,konnica,181,piechurzy,101
piechurzy,174,artylerzysci,364,konnica,52
artylerzysci,31,piechurzy,186,konnica,265
artylerzysci,402,artylerzysci,121,konnica,67
konnica,42,artylerzysci,25,piechurzy,405
artylerzysci,164,artylerzysci,76,konnica,123
konnica,258,konnica,139,artylerzysci,36
piechurzy,310,artylerzysci,77,artylerzysci,239
konnica,196,artylerzysci,200,piechurzy,21
piechurzy,89,piechurzy,63,artylerzysci,11
piechurzy,353,piechurzy,145,artylerzysci,180
artylerzysci,245,konnica,182,artylerzysci,34
artylerzysci,399,konnica,80,konnica,109
artylerzysci,351,piechurzy,221,artylerzysci,123
artylerzysci,3,artylerzysci,283,artylerzysci,141
piechurzy,13,konnica,449,artylerzysci,23
piechurzy,244,artylerzysci,81,artylerzysci,297
piechurzy,459,artylerzysci,33,piechurzy,215
konnica,43,artylerzysci,365,piechurzy,143
piechurzy,427,piechurzy,12,artylerzysci,249
artylerzysci,292,piechurzy,70,konnica,152
konnica,115,piechurzy,282,artylerzysci,176
konnica,442,artylerzysci,46,artylerzysci,14
artylerzysci,233,piechurzy,300,piechurzy,99
piechurzy,327,piechurzy,180,artylerzysci,29
piechurzy,333,artylerzysci,179,artylerzysci,4
piechurzy,448,konnica,29,konnica,28
konnica,206,piechurzy,188,piechurzy,138
konnica,335,piechurzy,10,artylerzysci,114
artylerzysci,58,artylerzysci,359,konnica,35
piechurzy,162,piechurzy,194,piechurzy,298
piechurzy,394,piechurzy,272,piechurzy,104
artylerzysci,185,artylerzysci,215,artylerzysci,5
artylerzysci,161,piechurzy,287,konnica,108
konnica,313,artylerzysci,174,piechurzy,7
artylerzysci,76,piechurzy,210,artylerzysci,289
konnica,312,artylerzysci,93,artylerzysci,78
piechurzy,453,piechurzy,269,artylerzysci,19
piechurzy,445,artylerzysci,4,konnica,91
piechurzy,133,artylerzysci,166,konnica,307
piechurzy,409,konnica,72,piechurzy,1
piechurzy,231,artylerzysci,79,artylerzysci,302
artylerzysci,131,piechurzy,185,piechurzy,91
konnica,146,artylerzysci,222,artylerzysci,35
artylerzysci,217,artylerzysci,53,artylerzysci,48
konnica,85,piechurzy,334,artylerzysci,87
konnica,145,konnica,155,piechurzy,191
piechurzy,415,piechurzy,25,piechurzy,134
artylerzysci,23,konnica,134,artylerzysci,350
piechurzy,220,piechurzy,230,piechurzy,99
piechurzy,305,konnica,315,piechurzy,18
konnica,110,artylerzysci,352,artylerzysci,65
konnica,412,konnica,86,artylerzysci,4
piechurzy,362,artylerzysci,231,piechurzy,16
artylerzysci,145,piechurzy,185,piechurzy,224
konnica,265,konnica,63,piechurzy,171
artylerzysci,80,konnica,240,konnica,38
artylerzysci,493,konnica,43,artylerzysci,6
piechurzy,75,piechurzy,254,konnica,31
piechurzy,485,konnica,146,konnica,110
artylerzysci,292,konnica,133,piechurzy,124
piechurzy,499,artylerzysci,140,artylerzysci,8
piechurzy,291,artylerzysci,100,artylerzysci,62
konnica,163,piechurzy,303,piechurzy,122
piechurzy,349,konnica,118,artylerzysci,61
piechurzy,112,piechurzy,62,piechurzy,388
konnica,354,konnica,66,konnica,4
konnica,63,piechurzy,380,piechurzy,31
artylerzysci,81,konnica,228,piechurzy,6
piechurzy,319,artylerzysci,212,artylerzysci,167
artylerzysci,241,konnica,125,konnica,144
artylerzysci,33,konnica,265,piechurzy,28
piechurzy,265,artylerzysci,269,artylerzysci,5
piechurzy,445,konnica,3,artylerzysci,274
artylerzysci,206,konnica,237,artylerzysci,61
piechurzy,233,piechurzy,160,konnica,240
piechurzy,289,artylerzysci,291,piechurzy,129
piechurzy,61,piechurzy,214,artylerzysci,285
artylerzysci,124,piechurzy,278,konnica,154
konnica,303,konnica,94,piechurzy,2
piechurzy,432,konnica,257,piechurzy,23
artylerzysci,110,konnica,293,konnica,2
konnica,452,artylerzysci,27,konnica,18
konnica,418,konnica,31,artylerzysci,4
artylerzysci,234,piechurzy,141,piechurzy,159
artylerzysci,500,konnica,105,konnica,13
konnica,445,piechurzy,30,artylerzysci,25
konnica,396,konnica,14,piechurzy,66
piechurzy,36,piechurzy,174,artylerzysci,271
piechurzy,260,artylerzysci,248,artylerzysci,72
piechurzy,273,konnica,223,piechurzy,56
piechurzy,121,piechurzy,274,konnica,154
konnica,11,konnica,143,piechurzy,55
artylerzysci,426,konnica,2,artylerzysci,7
piechurzy,5,artylerzysci,279,konnica,22
konnica,307,artylerzysci,130,konnica,11
piechurzy,476,artylerzysci,229,konnica,82
piechurzy,224,piechurzy,104,konnica,136
piechurzy,179,piechurzy,407,piechurzy,64
artylerzysci,85,artylerzysci,241,artylerzysci,64
konnica,258,piechurzy,101,piechurzy,17
artylerzysci,498,konnica,120,konnica,8
artylerzysci,58,piechurzy,151,piechurzy,290
konnica,10,konnica,82,piechurzy,341
artylerzysci,201,artylerzysci,71,piechurzy,159
konnica,374,piechurzy,76,piechurzy,72
piechurzy,234,konnica,128,artylerzysci,202
artylerzysci,230,artylerzysci,237,konnica,123
artylerzysci,82,konnica,81,artylerzysci,326
piechurzy,213,artylerzysci,327,artylerzysci,146
piechurzy,20,artylerzysci,173,konnica,97
konnica,208,piechurzy,23,konnica,98
piechurzy,274,konnica,67,piechurzy,146
konnica,469,artylerzysci,2,piechurzy,26
konnica,456,konnica,41,artylerzysci,4
konnica,450,konnica,40,artylerzysci,8
konnica,433,artylerzysci,58,artylerzysci,23
artylerzysci,52,artylerzysci,179,piechurzy,241
konnica,137,artylerzysci,109,piechurzy,255
piechurzy,370,piechurzy,5,piechurzy,36
piechurzy,81,artylerzysci,110,konnica,282
artylerzysci,271,artylerzysci,98,konnica,73
piechurzy,145,konnica,343,konnica,3
piechurzy,395,artylerzysci,270,piechurzy,40
konnica,18,artylerzysci,130,artylerzysci,317
piechurzy,195,konnica,278,konnica,6
konnica,440,konnica,28,artylerzysci,29
piechurzy,223,artylerzysci,271,artylerzysci,84
konnica,140,piechurzy,237,piechurzy,216
piechurzy,245,piechurzy,199,piechurzy,93
artylerzysci,373,konnica,197,piechurzy,16
piechurzy,345,artylerzysci,290,konnica,28
artylerzysci,154,artylerzysci,289,piechurzy,107
piechurzy,251,artylerzysci,329,piechurzy,4
konnica,190,artylerzysci,181,piechurzy,23
artylerzysci,228,konnica,71,piechurzy,35
artylerzysci,193,piechurzy,224,artylerzysci,1
piechurzy,426,konnica,3,konnica,226
piechurzy,145,piechurzy,28,artylerzysci,153
piechurzy,190,konnica,118,artylerzysci,35
